IDProdDate,Date,Print,PrDateSxolia
1340,"02/16/09 00:00:00",0,
1341,"02/17/09 00:00:00",0,
1342,"02/18/09 00:00:00",0,
1343,"02/19/09 00:00:00",0,
1344,"02/20/09 00:00:00",0,
1345,"02/21/09 00:00:00",0,
1346,"02/23/09 00:00:00",0,
1347,"02/24/09 00:00:00",0,
1348,"02/25/09 00:00:00",0,
1349,"02/26/09 00:00:00",0,
1350,"02/27/09 00:00:00",0,
1351,"02/28/09 00:00:00",0,
1352,"03/02/09 00:00:00",0,
1353,"03/03/09 00:00:00",0,
1354,"03/04/09 00:00:00",0,
1355,"03/05/09 00:00:00",0,
1356,"03/06/09 00:00:00",0,
1357,"03/07/09 00:00:00",0,
1358,"03/09/09 00:00:00",0,
1359,"03/10/09 00:00:00",0,
1360,"03/11/09 00:00:00",0,
1361,"03/12/09 00:00:00",0,
1362,"03/13/09 00:00:00",0,
1363,"03/14/09 00:00:00",0,
1364,"03/16/09 00:00:00",0,
1365,"03/17/09 00:00:00",0,
1366,"03/18/09 00:00:00",0,
1367,"03/19/09 00:00:00",0,
1368,"03/20/09 00:00:00",0,
1369,"03/21/09 00:00:00",0,
1370,"03/23/09 00:00:00",0,
1371,"03/24/09 00:00:00",0,
1372,"03/26/09 00:00:00",0,
1375,"03/27/09 00:00:00",0,
1376,"03/28/09 00:00:00",0,
1377,"03/30/09 00:00:00",0,
1378,"03/31/09 00:00:00",0,
1379,"04/01/09 00:00:00",0,
1380,"04/02/09 00:00:00",0,
1381,"04/03/09 00:00:00",0,
1382,"04/04/09 00:00:00",0,
1383,"04/06/09 00:00:00",0,
1384,"04/07/09 00:00:00",0,
1385,"04/08/09 00:00:00",0,
1386,"04/09/09 00:00:00",0,
1387,"04/10/09 00:00:00",0,
1388,"04/11/09 00:00:00",0,
1389,"04/13/09 00:00:00",0,
1390,"04/14/09 00:00:00",0,
1391,"04/15/09 00:00:00",0,
1392,"04/16/09 00:00:00",0,
1393,"04/17/09 00:00:00",0,
1394,"04/18/09 00:00:00",0,
1395,"04/21/09 00:00:00",0,
1396,"04/22/09 00:00:00",0,
1397,"04/23/09 00:00:00",0,
