IDSalesDate,SalesDate,SalesPrint,IDMarketer
490,"05/17/06 00:00:00",0,890
491,"05/18/06 00:00:00",0,879
492,"05/18/06 00:00:00",0,880
493,"05/18/06 00:00:00",0,890
494,"05/19/06 00:00:00",0,879
495,"05/19/06 00:00:00",0,880
496,"05/19/06 00:00:00",0,890
497,"05/20/06 00:00:00",0,879
498,"05/20/06 00:00:00",0,880
499,"05/20/06 00:00:00",0,890
500,"05/22/06 00:00:00",0,879
501,"05/22/06 00:00:00",0,880
502,"05/22/06 00:00:00",0,890
503,"05/23/06 00:00:00",0,879
504,"05/23/06 00:00:00",0,880
505,"05/23/06 00:00:00",0,890
506,"05/24/06 00:00:00",0,879
507,"05/24/06 00:00:00",0,880
508,"05/24/06 00:00:00",0,890
509,"05/25/06 00:00:00",0,879
510,"05/25/06 00:00:00",0,880
511,"05/25/06 00:00:00",0,890
512,"05/26/06 00:00:00",0,879
513,"05/26/06 00:00:00",0,880
514,"05/26/06 00:00:00",0,890
515,"05/27/06 00:00:00",0,879
516,"05/27/06 00:00:00",0,880
517,"05/27/06 00:00:00",0,890
518,"05/29/06 00:00:00",0,879
519,"05/29/06 00:00:00",0,880
520,"05/29/06 00:00:00",0,890
521,"05/30/06 00:00:00",0,879
522,"05/30/06 00:00:00",0,880
523,"05/30/06 00:00:00",0,890
524,"05/31/06 00:00:00",0,879
525,"05/31/06 00:00:00",0,880
526,"05/31/06 00:00:00",0,890
527,"06/01/06 00:00:00",0,879
528,"06/01/06 00:00:00",0,880
529,"06/01/06 00:00:00",0,890
530,"06/02/06 00:00:00",0,879
531,"06/02/06 00:00:00",0,880
532,"06/02/06 00:00:00",0,890
533,"06/03/06 00:00:00",0,879
534,"06/03/06 00:00:00",0,880
535,"06/03/06 00:00:00",0,890
536,"06/05/06 00:00:00",0,879
537,"06/05/06 00:00:00",0,880
538,"06/05/06 00:00:00",0,890
539,"06/06/06 00:00:00",0,879
540,"06/06/06 00:00:00",0,880
541,"06/06/06 00:00:00",0,890
542,"06/07/06 00:00:00",0,879
543,"06/07/06 00:00:00",0,880
544,"06/07/06 00:00:00",0,890
545,"06/08/06 00:00:00",0,879
546,"06/08/06 00:00:00",0,880
547,"06/08/06 00:00:00",0,890
548,"06/09/06 00:00:00",0,879
549,"06/09/06 00:00:00",0,880
550,"06/09/06 00:00:00",0,890
551,"06/10/06 00:00:00",0,879
552,"06/10/06 00:00:00",0,880
553,"06/10/06 00:00:00",0,890
554,"06/13/06 00:00:00",0,879
555,"06/13/06 00:00:00",0,880
556,"06/13/06 00:00:00",0,890
557,"06/14/06 00:00:00",0,879
558,"06/14/06 00:00:00",0,880
559,"06/14/06 00:00:00",0,890
560,"06/15/06 00:00:00",0,879
561,"06/15/06 00:00:00",0,880
562,"06/15/06 00:00:00",0,890
563,"06/16/06 00:00:00",0,879
564,"06/16/06 00:00:00",0,880
565,"06/16/06 00:00:00",0,890
566,"06/17/06 00:00:00",0,879
567,"06/17/06 00:00:00",0,880
568,"06/17/06 00:00:00",0,890
569,"06/19/06 00:00:00",0,879
570,"06/19/06 00:00:00",0,880
571,"06/19/06 00:00:00",0,890
572,"06/20/06 00:00:00",0,879
573,"06/20/06 00:00:00",0,880
574,"06/20/06 00:00:00",0,890
575,"06/21/06 00:00:00",0,879
576,"06/21/06 00:00:00",0,880
577,"06/21/06 00:00:00",0,890
578,"06/22/06 00:00:00",0,879
579,"06/22/06 00:00:00",0,880
580,"06/22/06 00:00:00",0,890
581,"06/23/06 00:00:00",0,879
582,"06/23/06 00:00:00",0,880
583,"06/23/06 00:00:00",0,890
584,"06/24/06 00:00:00",0,879
585,"06/24/06 00:00:00",0,880
586,"06/24/06 00:00:00",0,890
587,"06/26/06 00:00:00",0,879
588,"06/26/06 00:00:00",0,880
589,"06/26/06 00:00:00",0,890
590,"06/27/06 00:00:00",0,879
591,"06/27/06 00:00:00",0,880
592,"06/27/06 00:00:00",0,890
593,"06/28/06 00:00:00",0,879
594,"06/28/06 00:00:00",0,880
595,"06/28/06 00:00:00",0,890
596,"06/29/06 00:00:00",0,879
597,"06/29/06 00:00:00",0,880
598,"06/29/06 00:00:00",0,890
599,"06/30/06 00:00:00",0,879
600,"06/30/06 00:00:00",0,880
601,"06/30/06 00:00:00",0,890
602,"07/01/06 00:00:00",0,879
603,"07/01/06 00:00:00",0,880
604,"07/01/06 00:00:00",0,890
605,"07/03/06 00:00:00",0,879
606,"07/03/06 00:00:00",0,880
607,"07/03/06 00:00:00",0,890
608,"07/04/06 00:00:00",0,879
609,"07/04/06 00:00:00",0,880
610,"07/04/06 00:00:00",0,890
611,"07/05/06 00:00:00",0,879
612,"07/05/06 00:00:00",0,880
613,"07/05/06 00:00:00",0,890
614,"07/06/06 00:00:00",0,879
615,"07/06/06 00:00:00",0,880
616,"07/06/06 00:00:00",0,890
617,"07/07/06 00:00:00",0,879
618,"07/07/06 00:00:00",0,880
619,"07/07/06 00:00:00",0,890
620,"07/08/06 00:00:00",0,879
621,"07/08/06 00:00:00",0,880
622,"07/08/06 00:00:00",0,890
623,"07/10/06 00:00:00",0,879
624,"07/10/06 00:00:00",0,880
625,"07/10/06 00:00:00",0,890
626,"07/11/06 00:00:00",0,879
627,"07/11/06 00:00:00",0,880
628,"07/11/06 00:00:00",0,890
629,"07/12/06 00:00:00",0,879
630,"07/12/06 00:00:00",0,880
631,"07/12/06 00:00:00",0,890
632,"07/13/06 00:00:00",0,879
633,"07/13/06 00:00:00",0,880
634,"07/13/06 00:00:00",0,890
635,"07/15/06 00:00:00",0,880
636,"07/15/06 00:00:00",0,890
637,"07/15/06 00:00:00",0,879
645,"07/14/06 00:00:00",0,879
646,"07/14/06 00:00:00",0,880
647,"07/14/06 00:00:00",0,890
648,"07/17/06 00:00:00",0,879
649,"07/17/06 00:00:00",0,880
650,"07/17/06 00:00:00",0,890
651,"07/18/06 00:00:00",0,879
652,"07/18/06 00:00:00",0,880
653,"07/18/06 00:00:00",0,890
654,"07/19/06 00:00:00",0,879
655,"07/19/06 00:00:00",0,880
656,"07/19/06 00:00:00",0,890
657,"07/20/06 00:00:00",0,879
658,"07/20/06 00:00:00",0,880
659,"07/20/06 00:00:00",0,890
660,"07/21/06 00:00:00",0,879
661,"07/21/06 00:00:00",0,880
662,"07/21/06 00:00:00",0,890
663,"07/22/06 00:00:00",0,879
664,"07/22/06 00:00:00",0,880
665,"07/22/06 00:00:00",0,890
666,"07/24/06 00:00:00",0,879
667,"07/24/06 00:00:00",0,880
668,"07/24/06 00:00:00",0,890
669,"07/25/06 00:00:00",0,879
670,"07/25/06 00:00:00",0,880
671,"07/25/06 00:00:00",0,890
672,"07/26/06 00:00:00",0,879
673,"07/26/06 00:00:00",0,880
674,"07/26/06 00:00:00",0,890
675,"07/27/06 00:00:00",0,879
676,"07/27/06 00:00:00",0,880
677,"07/27/06 00:00:00",0,890
678,"07/28/06 00:00:00",0,879
679,"07/28/06 00:00:00",0,880
680,"07/28/06 00:00:00",0,890
681,"07/29/06 00:00:00",0,879
682,"07/29/06 00:00:00",0,880
683,"07/29/06 00:00:00",0,890
684,"07/31/06 00:00:00",0,879
685,"07/31/06 00:00:00",0,880
686,"07/31/06 00:00:00",0,890
687,"08/01/06 00:00:00",0,879
688,"08/01/06 00:00:00",0,880
689,"08/01/06 00:00:00",0,890
690,"08/02/06 00:00:00",0,879
691,"08/02/06 00:00:00",0,880
692,"08/02/06 00:00:00",0,890
693,"08/03/06 00:00:00",0,879
694,"08/03/06 00:00:00",0,880
695,"08/03/06 00:00:00",0,890
696,"08/04/06 00:00:00",0,879
697,"08/04/06 00:00:00",0,880
698,"08/04/06 00:00:00",0,890
699,"08/05/06 00:00:00",0,879
700,"08/05/06 00:00:00",0,880
701,"08/05/06 00:00:00",0,890
702,"08/07/06 00:00:00",0,879
703,"08/07/06 00:00:00",0,880
704,"08/07/06 00:00:00",0,890
705,"08/08/06 00:00:00",0,879
706,"08/08/06 00:00:00",0,880
707,"08/08/06 00:00:00",0,890
708,"08/09/06 00:00:00",0,879
709,"08/09/06 00:00:00",0,880
710,"08/09/06 00:00:00",0,890
711,"08/10/06 00:00:00",0,879
712,"08/10/06 00:00:00",0,880
713,"08/10/06 00:00:00",0,890
714,"08/11/06 00:00:00",0,879
715,"08/11/06 00:00:00",0,880
716,"08/11/06 00:00:00",0,890
717,"08/12/06 00:00:00",0,879
718,"08/12/06 00:00:00",0,880
719,"08/12/06 00:00:00",0,890
720,"08/14/06 00:00:00",0,879
721,"08/14/06 00:00:00",0,880
722,"08/14/06 00:00:00",0,890
723,"08/16/06 00:00:00",0,879
724,"08/16/06 00:00:00",0,880
725,"08/16/06 00:00:00",0,890
726,"08/17/06 00:00:00",0,879
727,"08/17/06 00:00:00",0,880
728,"08/17/06 00:00:00",0,890
729,"08/18/06 00:00:00",0,879
730,"08/18/06 00:00:00",0,880
731,"08/18/06 00:00:00",0,890
737,"08/19/06 00:00:00",0,879
741,"08/19/06 00:00:00",0,880
742,"08/19/06 00:00:00",0,890
743,"08/21/06 00:00:00",0,879
744,"08/21/06 00:00:00",0,880
745,"08/21/06 00:00:00",0,890
746,"08/22/06 00:00:00",0,879
