IDStoreControl,IDMarketer,Date,NoApod,Incam
302,879,"12/17/05 00:00:00",505,1356.0000
303,890,"12/17/05 00:00:00",287,706.9500
304,879,"12/19/05 00:00:00",423,921.0000
305,890,"12/19/05 00:00:00",221,422.7000
306,880,"12/19/05 00:00:00",486,1032.0000
307,890,"12/20/05 00:00:00",226,420.3500
308,879,"12/20/05 00:00:00",495,962.0000
309,880,"12/20/05 00:00:00",495,980.6200
310,880,"12/21/05 00:00:00",512,1010.0000
311,890,"12/21/05 00:00:00",223,427.8500
312,879,"12/21/05 00:00:00",466,1195.0000
313,879,"12/22/05 00:00:00",456,1232.5000
314,890,"12/22/05 00:00:00",226,445.0000
315,880,"12/22/05 00:00:00",494,1009.5000
316,890,"12/23/05 00:00:00",235,535.0000
317,879,"12/23/05 00:00:00",434,1126.0000
318,880,"12/23/05 00:00:00",489,1196.3000
319,880,"12/24/05 00:00:00",672,2247.5000
320,890,"12/24/05 00:00:00",270,1051.2000
321,879,"12/24/05 00:00:00",444,1574.0000
322,890,"12/27/05 00:00:00",126,257.2500
323,879,"12/27/05 00:00:00",279,540.0000
324,880,"12/27/05 00:00:00",344,632.3500
325,890,"12/28/05 00:00:00",180,357.3000
326,880,"12/28/05 00:00:00",432,776.0000
327,879,"12/28/05 00:00:00",419,782.0000
328,880,"12/29/05 00:00:00",439,845.0000
329,890,"12/29/05 00:00:00",187,389.3000
330,879,"12/29/05 00:00:00",384,881.0000
331,890,"12/30/05 00:00:00",196,561.7000
332,879,"12/30/05 00:00:00",404,1094.0000
333,880,"12/30/05 00:00:00",436,1168.8500
334,880,"12/30/05 00:00:00",,0.0000
335,880,"12/31/05 00:00:00",715,2503.0000
336,890,"12/31/05 00:00:00",289,1086.5500
337,879,"12/31/05 00:00:00",498,1810.0000
338,890,"01/03/06 00:00:00",149,286.0000
339,879,"01/03/06 00:00:00",313,583.6500
340,880,"01/03/06 00:00:00",358,655.7000
341,890,"01/04/06 00:00:00",187,343.4000
342,879,"01/04/06 00:00:00",373,903.0000
343,880,"01/04/06 00:00:00",419,807.6000
344,890,"01/05/06 00:00:00",254,544.4500
345,880,"01/05/06 00:00:00",538,1297.0000
346,879,"01/05/06 00:00:00",517,1218.0000
347,880,"01/07/06 00:00:00",699,1560.7000
348,879,"01/07/06 00:00:00",474,1135.0000
349,890,"01/07/06 00:00:00",260,609.3000
350,879,"01/09/06 00:00:00",410,877.0000
351,890,"01/09/06 00:00:00",198,328.1500
