IDC_FASH,IDSort,IDOperation,IDC_FASHQuantity,IDC_FASHLoose,IDC_FASHRecipe,IDC_FASHDelete
7092,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7092,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7093,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7093,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7094,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7094,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7095,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7095,7783,"Χ_Φ",1.4000000000000000e+01,0.0000000000000000e+00,0,0
7096,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7096,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7097,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7097,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7098,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7098,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7099,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7099,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7100,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7100,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7101,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7101,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7102,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7102,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7104,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7104,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7105,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7105,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7106,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7106,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7107,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7107,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7108,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7108,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7109,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7109,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7110,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7110,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7111,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7111,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7112,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7112,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7113,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7113,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7114,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7114,6729,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
7115,6727,"Χ_Φ",0.0000000000000000e+00,0.0000000000000000e+00,0,0
